Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
79545.46,5.68,7.01,4.09,23086.80,1059033.558,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
80000.00,5.00,3.00,2.00,1000000.00,????,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
61287.07,5.87,8.51,5.13,36882.16,1058987.988,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489"
63345.24,7.19,5.59,3.26,34310.24,1260616.807,"USS Barnett
FPO AP 44820"
59982.20,5.04,7.84,4.23,26354.11,630943.4893,"USNS Raymond
FPO AE 09386"
80175.75,4.99,6.10,4.04,26748.43,1068138.074,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077"
64698.46,6.03,8.15,3.41,60828.25,1502055.817,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247"
78394.34,6.99,6.62,2.42,36516.36,1573936.564,"972 Joyce Viaduct
Lake William, TN 17778-6483"
59927.66,5.36,6.39,2.30,29387.40,798869.5328,"USS Gilbert
FPO AA 20957"
81885.93,4.42,8.17,6.10,40149.97,1545154.813,"Unit 9446 Box 0958
DPO AE 97025"
80527.47,8.09,5.04,4.10,47224.36,1707045.722,"6368 John Motorway Suite 700
Janetbury, NM 26854"
50593.70,4.50,7.47,4.49,34343.99,663732.3969,"911 Castillo Park Apt. 717
Davisborough, PW 78603"
39033.81,7.67,7.25,3.10,39220.36,1042814.098,"209 Natasha Stream Suite 961
Huffmanland, NE 52457"
73163.66,6.92,5.99,2.27,32326.12,1291331.518,"829 Welch Track Apt. 992
North John, AR 26532-5136"
69391.38,5.34,8.41,4.37,35521.29,1402818.21,"PSC 5330, Box 4420
APO AP 08302"
73091.87,5.44,8.52,4.01,23929.52,1306674.66,"2278 Shannon View
North Carriemouth, NM 84617"
79706.96,5.07,8.22,3.12,39717.81,1556786.6,"064 Hayley Unions
Nicholsborough, HI 44161-1887"
61929.08,4.79,5.10,4.30,24595.90,528485.2467,"5498 Rachel Locks
New Gregoryshire, PW 54755"
63508.19,5.95,7.19,5.12,35719.65,1019425.937,"Unit 7424 Box 2786
DPO AE 71255"
62085.28,5.74,7.09,5.49,44922.11,1030591.429,"19696 Benjamin Cape
Stephentown, ME 36952-4733"
86295.00,6.63,8.01,4.07,47560.78,2146925.34,"030 Larry Park Suite 665
Thomashaven, HI 87941-5197"
60835.09,5.55,6.52,2.10,45574.74,929247.5995,"USNS Brown
FPO AP 85833"
64490.65,4.21,5.48,4.31,40358.96,718887.2315,"95198 Ortiz Key
Port Sara, TN 24541-2855"
60697.35,6.17,7.15,6.34,28140.97,743999.8192,"9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804"
59748.86,5.34,7.75,4.23,27809.99,895737.1334,"24282 Paul Valley
West Perry, MI 03169-5806"
56974.48,8.29,7.31,4.33,40694.87,1453974.506,"61938 Brady Falls
Lewisfort, DE 61227"
82173.63,4.02,6.99,2.03,38853.92,1125692.507,"3599 Ramirez Springs
Jacksonhaven, AZ 72798"
64626.88,5.44,6.99,4.00,27784.74,975429.4928,"073 Christopher Falls Suite 882
West Cynthia, MA 89075-2814"
90499.06,6.38,4.24,3.04,33970.16,1240763.766,"6531 Chase Prairie Apt. 245
Susanshire, MN 22365"
59323.79,6.98,8.27,4.07,37520.66,1577017.76,"17124 Johnson Squares
Lake Robertfurt, AL 61811-3832"
77811.52,5.31,6.69,3.24,33754.74,1246830.188,"1359 Mitchell Vista
Courtneyfort, NY 93065-7224"
68652.61,6.12,6.29,4.42,39355.63,1170720.894,"4343 Joshua Lake Suite 096
Pierceview, NV 62614-9110"
55041.35,7.13,8.59,5.36,30122.47,1071279.21,"0057 Jacob Coves Apt. 932
Lake Emily, VA 39465-6041"
50218.71,6.12,7.33,6.29,16810.78,534305.1323,"039 Jordan Pike
Emilyville, ID 27442"
55909.32,5.42,9.29,6.00,22355.24,936368.9634,"66338 Novak Curve Suite 628
Taylorborough, OK 87142-6766"
74372.81,5.50,6.59,2.07,39395.15,1199193.831,"7167 Angela Park Suite 013
Morrishaven, NH 66937-4811"
78667.90,5.47,7.78,4.10,27637.66,1233220.009,"34964 Sara Fields Apt. 584
Port Raymondville, MO 63585"
78699.52,5.65,6.76,3.01,22836.61,1081150.125,"7585 Lynn Loop
East Judy, WV 73336"
53128.19,5.18,5.43,2.39,32947.71,524712.7661,"Unit 1388 Box 9350
DPO AP 70848"
17796.63,4.95,6.71,2.50,47162.18,302355.836,"9932 Eric Circles
Lake Martha, WY 34611-6127"
58566.85,6.58,5.03,2.17,39705.46,1026817.4,"7896 Walker Spring
Loriport, MH 72956"
75537.79,7.85,7.56,6.30,32778.20,1762214.68,"549 Darren Plaza
Lake Kevin, UT 27155"
